OBJECTID,LOCALID,NAME,GEOTYPE,FULLFIPS,LEGALAREA,EFFECTDATE,ENDDATE,SRCREF,ACRES,SQMILES,OLDNAME,NPU,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID
242,,Old Fairburn Village,Neighborhood,,,,,,20.8,0.03, ,P,,,GIS,2018-05-15T13:24:10.000Z,{D442944E-02C2-404D-9244-7EDF146E656F}
243,,Cascade Green,Neighborhood,,,,,,48.93,0.08, ,P,,,GIS,2018-05-15T13:24:10.000Z,{A7DB3DF4-7D71-4EBF-9B02-8ACF3BB02D3D}
245,,Perkerson,Neighborhood,,,,,,607.81,0.95,Perkerson Park,X,,,GIS,2018-05-15T13:24:10.000Z,{775531E3-4C24-4A06-B7E8-01BDCE1AE8EB}
246,,Glenrose Heights,Neighborhood,,,,,,892.5,1.39,Glenrose Heights,Z,,,GIS,2018-05-15T13:24:10.000Z,{D550C0DE-5BCA-4834-A745-F2110B0DF177}
247,,Edmund Park,Neighborhood,,,,,,19.27,0.03,Edmund Park,F,,,GIS,2018-05-15T13:24:10.000Z,{20065007-F26D-4F56-89BB-83980A2ACF9A}
250,,Huntington,Neighborhood,,,,,,34.42,0.05, ,P,,,GIS,2018-05-15T13:24:10.000Z,{329667C6-F03C-42D6-A6FC-B7A38A9BB6AA}
248,,Morningside/Lenox Park,Neighborhood,,,,,,1445.99,2.26,Morningside-Lenox Park,F,,,GIS,2018-11-01T13:22:37.000Z,{0F0F81DD-5048-41DF-976F-9D82C35C6B0D}
214,,Virginia Highland,Neighborhood,,,,,,670.42,1.05,Virginia-Highland,F,,,GIS,2018-11-01T13:42:11.000Z,{3457E2EB-86D1-4E12-B2B0-194AD6A4FFC5}
249,,East Atlanta,Neighborhood,,,,,,928.25,1.45,East Atlanta,W,,,GIS,2018-11-01T14:25:05.000Z,{574B2215-C2CA-4719-B687-D6FA8D201AAC}
244,,East Lake,Neighborhood,,,,,,757.8,1.18,East Lake,O,,,GIS,2019-01-10T15:40:29.000Z,{FA809309-67D3-459E-9D67-FB1AC9F689E6}
50,,The Villages at East Lake,Neighborhood,,,,,,186.6,0.29,East Lake Meadows,O,,,GIS,2019-01-10T15:41:08.000Z,{64F7E230-0B97-4A6E-9870-3E6B6C10369B}
130,,Grove Park,Neighborhood,,,,,,1077.7,1.68,Grove Park,J,,,GIS,2019-01-17T14:51:37.000Z,{99D06944-AAC3-4EF7-9FCD-79353A5BDF85}
57,,Chosewood Park,Neighborhood,,,,,,529.92,0.83,Choosewood Park,Y,,,GIS,2019-05-13T18:41:13.000Z,{EE550657-B80D-4F61-B2AB-DEE359E72B65}
143,,Audobon Forest,Neighborhood,,,,,,497.55,0.78,Audobon Forest,I,,,GIS,2019-04-18T14:13:22.000Z,{7465F3E4-9466-46D5-8299-BD0A8EF959B0}
2561,,Peyton Heights,Neighborhood,,,,,,497.55,0.78,Peyton Heights,I,GIS,2019-04-18T14:02:43.000Z,GIS,2019-04-18T14:14:53.000Z,{C6D49604-829F-4AA9-94C9-73E035EE4C51}
